Date,AAPL,MSFT,TSLA
2020-01-02,,,
2020-01-03,0.9902778454125253,0.9875483830634361,1.0296332582979209
2020-01-06,0.9981687607260967,0.9901009835101612,1.049458472976047
2020-01-07,0.9934740736759591,0.9810732067033126,1.0901780123344627
2020-01-08,1.009455740878854,0.9967003944147185,1.1438200315094207
2020-01-09,1.0308970485084357,1.0091520113512824,1.1187188873063767
2020-01-10,1.0332275636902832,1.0044828297673158,1.111304804272344
2020-01-13,1.0553021429107081,1.0165607444006073,1.2198670135677492
2020-01-14,1.0410520070481308,1.009401279376127,1.2502207474766562
2020-01-15,1.0365904977287521,1.0159383732744731,1.2050852611569487
2020-01-16,1.0495753525353844,1.0345538811410964,1.1934411517715287
2020-01-17,1.0611952183524862,1.0403437701668918,1.1864918702622576
2020-01-21,1.054003415522611,1.0366082451391239,1.2717891341106666
2020-01-22,1.0577660227125836,1.0316274785241017,1.3237578013012714
2020-01-23,1.0628598570284993,1.037977921004806,1.329893580399393
2020-01-24,1.0597966778536583,1.0275182511930612,1.3127411407266745
2020-01-27,1.0286331104594566,1.0103350357993226,1.2969366919709764
2020-01-28,1.0577324712032863,1.0301332685129945,1.3175753425650414
2020-01-29,1.0798733120251447,1.0461961759328926,1.3503230370597097
2020-01-30,1.0783086968141526,1.075706573984767,1.4893553468832401
2020-01-31,1.030497585711222,1.0598305177165053,1.5120392571766785
2020-02-03,1.0276675842671397,1.0856683069488056,1.8128573411078652
2020-02-04,1.0615944707954093,1.1214049129369505,2.0616836175150253
2020-02-05,1.0702513912569813,1.1200349374702772,1.707572148800058
2020-02-06,1.0827701009563862,1.1432574097816528,1.7407149578383798
2020-02-07,1.068052137152259,1.1448762538051824,1.7386464248151619
2020-02-10,1.0731250412162934,1.1748227710335377,1.7925905317336095
2020-02-11,1.0666505465162224,1.1483004934028862,1.7997954208338942
2020-02-12,1.091980884264226,1.1499813548316353,1.7833171096101077
2020-02-13,1.0842051379245747,1.1437555463633533,1.868637513791938
2020-02-14,1.084471867164631,1.1539661478842476,1.8594106383161233
2020-02-18,1.0646147376950361,1.1656709594162493,1.9950727048662595
2020-02-19,1.080033181285746,1.169166404182909,2.132245542609899
2020-02-20,1.0689532949317548,1.1513121824354324,2.0903872062682116
2020-02-21,1.044757397871151,1.1149160547982198,2.0940826111233064
2020-02-24,0.9951310344203773,1.0668461742651136,1.9378747212936358
2020-02-25,0.9614237577711445,1.0492408210744928,1.859131624410845
2020-02-26,0.9766757059411094,1.0623511607241474,1.8100682659784508
2020-02-27,0.9128321270741849,0.987498948899855,1.5781155483291525
2020-02-28,0.9122980375312018,1.011408905619496,1.552526329277503
2020-03-02,0.9972337359058677,1.078707377514626,1.7283038926894974
2020-03-03,0.9655621629006759,1.0270163196654696,1.7326965663269458
2020-03-04,1.0103495362581902,1.0647231017730587,1.741969988450448
2020-03-05,0.9775767585434603,1.0380038864240604,1.6839585024666743
2020-03-06,0.9645945331654562,1.0086624633313352,1.6350113776630764
2020-03-09,0.8883027132863658,0.9403027048576704,1.413099037900742
2020-03-10,0.952279341241883,1.0046042680358296,1.4998605262949671
2020-03-11,0.9192064931320899,0.9590937789052537,1.4740622462999915
2020-03-12,0.8284305182425024,0.8681350177833159,1.302816863478085
2020-03-13,0.9276832451440499,0.991556844594369,1.2704411431936478
2020-03-16,0.8083396851564231,0.8454109816546321,1.0344210464790229
2020-03-17,0.843882565931082,0.9150191774594592,0.9998605595425724
2020-03-18,0.8232242495584398,0.8765004766651769,0.8395388769903105
2020-03-19,0.816916670987694,0.8909212710512135,0.9939106345591447
2020-03-20,0.7650541888428292,0.8574597351247604,0.9936550269681312
2020-03-23,0.7488011646054923,0.8489070256232745,1.0093664489236664
2020-03-24,0.8239249396993129,0.9260689613572638,1.1737089638935672
2020-03-25,0.8193862303554068,0.9172040676227394,1.2533119768447731
2020-03-26,0.8625047579511024,0.974576159470816,1.2275368371832192
2020-03-27,0.8267952765785533,0.9345593538525384,1.1954632711374826
2020-03-30,0.8503902966090148,1.0002967048484819,1.1670385632991536
2020-03-31,0.8486547685371821,0.984564556923089,1.2178683005160644
2020-04-01,0.8040010753311314,0.9496047164386462,1.1192302354788273
2020-04-02,0.8174170512556621,0.9692697265781423,1.056268314027891
2020-04-03,0.8056696055615145,0.9603422162364154,1.115627790928685
2020-04-06,0.8759544957392208,1.0317609008322706,1.1998326714510874
2020-04-07,0.8658086350225794,1.0206485003272632,1.2677218880357644
2020-04-08,0.8879686706734246,1.0308868648733607,1.2756007725945588
2020-04-09,0.8943764830634815,1.030949281746569,1.3317529194888635
2020-04-13,0.9119308641175436,1.0332593052572574,1.5129224465689386
2020-04-14,0.9579864634910664,1.084388311646548,1.6499093637026734
2020-04-15,0.9492423511761795,1.0730262436487075,1.6962534669771836
2020-04-16,0.9567848146079267,1.1052394421109952,1.7319992975445937
2020-04-17,0.9438024840527776,1.1149785715384237,1.7521731466138966
2020-04-20,0.9242123993546744,1.0928787041418224,1.7346720060547904
2020-04-21,0.8956447090794899,1.0476803992442851,1.5960582170891782
2020-04-22,0.9214424540604629,1.0832646081948047,1.701552603330734
2020-04-23,0.917871689983212,1.0701544682791444,1.640008359777927
2020-04-24,0.9443700199279129,1.0896950441402125,1.6853763133552264
2020-04-27,0.9450377896223595,1.0865735014108195,1.8564356425768065
2020-04-28,0.9297189487880902,1.060103554086666,1.7875702762949186
2020-04-29,0.9602558707515919,1.1076742993681,1.860526161975554
2020-04-30,0.9805134096127065,1.1187867997401044,1.817226741421472
