Date,AAPL,MSFT,TSLA
2020-01-02,72.53852081298828,152.79110717773438,28.68400001525879
2020-01-03,71.83329010009766,150.88861083984375,29.53400039672852
2020-01-06,72.40568542480469,151.27862548828125,30.1026668548584
2020-01-07,72.06513977050781,149.89926147460938,31.270666122436523
2020-01-08,73.22442626953125,152.28695678710938,32.80933380126953
2020-01-09,74.77974700927734,154.189453125,32.089332580566406
2020-01-10,74.94879913330078,153.47604370117188,31.87666702270508
2020-01-13,76.55005645751953,155.32144165039062,34.990665435791016
2020-01-14,75.51637268066406,154.2275390625,35.861331939697266
2020-01-15,75.19274139404297,155.22634887695312,34.56666564941406
2020-01-16,76.1346435546875,158.0706329345703,34.232666015625
2020-01-17,76.97753143310547,158.9552764892578,34.03333282470703
2020-01-21,76.45584869384766,158.384521484375,36.47999954223633
2020-01-22,76.7287826538086,157.62350463867188,37.97066879272461
2020-01-23,77.09828186035156,158.5937957763672,38.14666748046875
2020-01-24,76.87608337402344,156.9956512451172,37.654666900634766
2020-01-27,74.61552429199219,154.37020874023438,37.20133209228516
2020-01-28,76.72634887695312,157.39520263671875,37.79333114624024
2020-01-29,78.33241271972656,159.84947204589844,38.732666015625
2020-01-30,78.21891784667969,164.3583984375,42.72066879272461
2020-01-31,74.75077056884766,161.93267822265625,43.37133407592773
2020-02-03,74.54548645019531,165.88046264648438,52.0
2020-02-04,77.0064926147461,171.3406982421875,59.137332916259766
2020-02-05,77.63445281982422,171.13137817382812,48.97999954223633
2020-02-06,78.54254150390625,174.6795654296875,49.93066787719727
2020-02-07,77.47492218017578,174.92691040039062,49.87133407592773
2020-02-10,77.84290313720703,179.50247192382812,51.41866683959961
2020-02-11,77.37325286865234,175.45010375976562,51.62533187866211
2020-02-12,79.21067810058594,175.70692443847656,51.15266799926758
2020-02-13,78.64663696289062,174.75567626953125,53.59999847412109
2020-02-14,78.66598510742188,176.31576538085938,53.33533477783203
2020-02-18,77.22557830810547,178.10415649414062,57.22666549682617
2020-02-19,78.34400939941406,178.6382293701172,61.16133117675781
2020-02-20,77.54029083251953,175.91026306152344,59.96066665649414
2020-02-21,75.78515625,170.34925842285156,60.06666564941406
2020-02-24,72.18533325195312,163.00460815429688,55.58599853515625
2020-02-25,69.7402572631836,160.31466674804688,53.32733154296875
2020-02-26,70.84661102294922,162.31781005859375,51.91999816894531
2020-02-27,66.21549224853516,150.8810577392578,45.26666641235352
2020-02-28,66.17675018310547,154.53428649902344,44.53266525268555
2020-03-02,72.33786010742188,164.81689453125,49.574668884277344
2020-03-03,70.04045104980469,156.91896057128906,49.70066833496094
2020-03-04,73.28926086425781,162.6802215576172,49.96666717529297
2020-03-05,70.91197204589844,158.59776306152344,48.30266571044922
2020-03-06,69.97026062011719,154.11465454101562,46.89866638183594
2020-03-09,64.43616485595703,143.66989135742188,40.53333282470703
2020-03-10,69.07693481445312,153.49459838867188,43.02199935913086
2020-03-11,66.6778793334961,146.54100036621094,42.28200149536133
2020-03-12,60.09312438964844,132.643310546875,37.369998931884766
2020-03-13,67.29277038574219,151.50106811523438,36.44133377075195
2020-03-16,58.6357650756836,129.17127990722656,29.67133331298828
2020-03-17,61.213993072509766,139.80679321289062,28.68000030517578
2020-03-18,59.71546936035156,133.92147827148438,24.08133316040039
2020-03-19,59.25792694091797,136.12484741210938,28.50933265686035
2020-03-20,55.49589920043945,131.01222229003906,28.50200080871582
2020-03-23,54.31692886352539,129.7054443359375,28.952667236328125
2020-03-24,59.76629638671875,141.49510192871094,33.66666793823242
2020-03-25,59.43706512451172,140.140625,35.95000076293945
2020-03-26,62.5648193359375,148.9065704345703,35.21066665649414
2020-03-27,59.97450637817383,142.7923583984375,34.29066848754883
2020-03-30,61.68605422973633,152.83644104003906,33.47533416748047
2020-03-31,61.56016159057617,150.43270874023438,34.93333435058594
2020-04-01,58.321048736572266,145.09115600585938,32.104000091552734
2020-04-02,59.29422378540039,148.09579467773438,30.29800033569336
2020-04-03,58.442081451416016,146.73175048828125,32.000667572021484
2020-04-06,63.54044342041016,157.64389038085938,34.41600036621094
2020-04-07,62.80447769165039,155.94601440429688,36.36333465576172
2020-04-08,64.41193389892578,157.51034545898438,36.589332580566406
2020-04-09,64.87674713134766,157.51988220214844,38.20000076293945
2020-04-13,66.15011596679688,157.87283325195312,43.39666748046875
2020-04-14,69.49092102050781,165.6848907470703,47.32600021362305
2020-04-15,68.85663604736328,163.94886779785156,48.65533447265625
2020-04-16,69.40375518798828,168.87075805664062,49.68066787719727
2020-04-17,68.4620361328125,170.3588104248047,50.25933456420898
2020-04-20,67.04100036621094,166.98214721679688,49.75733184814453
2020-04-21,64.96874237060547,160.0762481689453,45.78133392333984
2020-04-22,66.84007263183594,165.51319885253906,48.80733489990234
2020-04-23,66.5810546875,163.5100860595703,47.04199981689453
2020-04-24,68.50320434570312,166.49571228027344,48.34333419799805
2020-04-27,68.55164337158203,166.01876831054688,53.25
2020-04-28,67.44043731689453,161.97439575195312,51.27466583251953
2020-04-29,69.6555404663086,169.24278259277344,53.367332458496094
2020-04-30,71.12499237060547,170.940673828125,52.12533187866211
2020-05-01,69.97993469238281,166.51473999023438,46.75466537475586
2020-05-04,70.97004699707031,170.58773803710938,50.74599838256836
2020-05-05,72.03524780273438,172.41912841796875,51.2140007019043
2020-05-06,72.77845001220703,174.1169891357422,52.172000885009766
2020-05-07,73.53133392333984,175.1280517578125,52.00266647338867
2020-05-08,75.28150939941406,176.1582489013672,54.62799835205078
2020-05-11,76.46609497070312,178.12318420410156,54.08599853515625
